disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,var.FT,var.SA,var.SB,var.SC,var.SD,var.SE,var.SF,var.SG,var.SH,var.SJ,var.SK,var.SL,var.SM,var.SN,var.SO,var.H,var.P,var.R,var.1,var.2,var.3,var.4,var.5,response
1,SK,18,0,P,1,100,33,1,0,27,0,10,0,0,46.4296875,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0,SO,18,0,P,1,100,4,1,46,12,0,6,124,0.092462448,27.51953125,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1,SM,21,3,H,1,500,3,1,161,9,0,21,0,0.245395851,59.578125,1,0,373,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,SO,20,2,P,1,1800,5,1,1,0,0,9,0,0.000528448,55.4453125,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
0,SO,17,0,P,1,350,4,1,0,4,0,2,0,0.238042976,56.40625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
160,SB,18,0,P,1,250,3,1,0,21,0,32,0,0,76.9375,1,0,4,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,SA,30,0,R,1,1550,12,1,0,0,2,15,0,0,47.65625,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
100,SN,26,0,P,1,500,22,1,0,10,6,5,372,0.089765755,50.25,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
0,SL,22,5,P,1,700,1,1,1,23,0,33,1,0.128964513,61.296875,2,1,275,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,SO,24,1,P,1,500,43,1,40,3,0,7,0,0,44.265625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,SO,18,1,P,1,100,39,1,84,19,0,24,0,0.053124871,74.8125,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
0,SC,18,0,P,1,400,7,1,0,23,0,76,528,0.106758389,67.328125,1,0,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,SC,20,2,P,1,6000,6,2,30,14,2,29,5022,0.12147477,64.234375,2,1,1950,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,SC,18,0,P,1,150,7,1,0,1,1,11,1,0,53.1015625,1,0,0,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,SC,20,1,R,1,1050,7,1,0,15,2,2,0,0.220615609,37.4609375,1,0,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,SD,23,1,R,1,1900,23,1,0,3,0,22,0,0,28.2265625,1,0,0,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
300,SK,21,1,R,1,100,20,1,120,10,0,17,154,0.008786049,47.2421875,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
1,SO,23,1,R,1,500,2,1,0,0,1,7,123,0.312628728,51.4375,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,SA,23,4,P,1,950,32,4,0,13,6,12,61,0.105387383,47.828125,1,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
260,SO,19,1,R,1,500,5,1,0,22,1,12,0,0.046002705,46.8984375,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,SK,25,1,P,2,350,65,1,0,27,7,6,1,0.061730411,91.125,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0,SD,19,1,R,2,50,4,1,230,7,0,23,0,0.356764555,40.765625,2,1,11,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,SO,21,0,P,1,100,4,1,0,11,0,29,1,0.187923515,74.875,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
1,SO,31,1,R,2,750,40,1,0,9,0,15,0,0.258034437,38.53125,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
0,SO,20,1,P,1,700,9,1,0,21,0,12,0,0.118531911,49.265625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
1,SA,22,4,P,2,400,25,1,0,18,3,51,373,0.027114147,38.984375,1,1,725,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
300,SO,19,1,P,1,250,14,1,19,11,0,34,0,0.036295542,74.75,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
2,SO,19,1,P,1,350,27,1,0,12,0,18,0,0.106743986,52.3515625,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,SM,22,1,P,1,100,5,1,1,1,5,2,0,0,93,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,SL,20,3,P,1,2350,23,2,0,0,3,2,247,0,57.21875,1,1,1920,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1000,SL,26,0,P,1,350,10,3,0,23,8,24,310,0.025813608,29.3515625,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,SD,23,1,R,1,500,3,1,40,8,0,19,526,0.007063317,60.515625,1,0,0,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,FT,26,0,P,1,50,29,1,0,7,4,56,0,0,70.796875,2,0,0,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,SF,19,1,R,1,2550,17,1,0,7,2,3,682,0.36960144,54.7421875,1,0,0,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,SO,20,1,P,1,500,17,1,49,3,0,17,0,0.217602424,43.1328125,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,SO,21,1,P,1,950,10,1,30,28,3,10,1,0.273047115,60.953125,2,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
0,SO,18,1,R,1,250,17,1,0,10,1,6,0,0,54.4453125,1,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
600,SB,20,1,R,1,350,9,1,15,2,1,9,0,0.191610963,71.09375,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,SB,19,1,P,1,100,11,1,40,4,3,4,0,0.186843214,30.79296875,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,SB,30,1,R,1,250,11,1,59,0,0,2,1,0.134553402,74.3125,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,SO,30,0,R,1,150,4,2,0,6,1,2,340,0.339156392,38.8125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,SH,19,1,P,1,500,9,3,30,23,2,10,0,0,57.390625,1,1,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,SF,17,0,P,1,900,3,1,0,6,0,12,2014,0.037961512,64.875,1,0,0,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,SO,19,1,P,1,250,12,1,1,22,1,10,0,0.027951845,84.625,1,1,2,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
500,SB,21,1,R,1,100,3,1,90,13,0,33,1,0.630513039,71.734375,1,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,SO,19,2,R,1,500,2,2,39,21,0,48,0,0.120750077,67.140625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,SM,23,5,R,3,100,13,2,0,3,3,7,0,0,35.234375,1,2,684,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1,SL,26,3,P,1,3200,6,3,0,28,9,5,1735,0.049869619,56.9296875,1,2,960,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,SO,19,0,P,1,500,5,2,89,12,2,16,0,0.095434585,75.90625,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
0,SF,18,0,P,1,750,2,2,25,18,0,1,0,0.068286994,24.45703125,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,SA,20,2,R,1,550,4,1,0,16,2,48,1,0.063838421,79.234375,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,SA,21,1,P,2,200,44,1,22,0,2,27,0,0.091614693,37.7890625,1,0,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,SB,18,1,P,1,800,53,1,0,9,0,13,0,0.423238548,31.06640625,1,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
400,FT,44,0,R,1,2100,28,1,0,0,3,2,1210,0.108848334,48.375,1,0,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,SC,18,0,P,1,50,8,1,0,4,0,9,0,0,34.203125,1,0,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,SA,21,0,P,1,50,13,1,1,3,2,13,32,0.094981908,34.2265625,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,SO,21,4,P,1,950,4,3,0,21,4,13,62,0.262221587,33.2578125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
800,SB,45,1,R,1,250,18,2,40,0,6,5,465,0.266229864,38.671875,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
11,SD,18,1,P,3,800,15,2,0,0,0,1,31,0.350622478,55.28125,1,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,SA,19,1,P,1,100,15,1,200,0,0,3,31,0,80.546875,1,0,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,SB,18,1,P,1,50,8,1,125,4,0,5,31,0,21.62890625,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,SO,20,1,P,1,550,5,1,0,1,0,6,340,0.047101932,57.4609375,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
320,SN,20,1,P,1,1100,5,2,0,6,3,12,0,0.06029933,78.640625,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1540,FT,38,0,R,1,150,8,1,0,4,1,1,1,0.089791245,51.609375,1,0,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,SO,18,1,P,1,1000,28,1,36,4,0,10,0,0.076987326,31.10546875,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,SE,18,0,P,1,350,9,2,0,7,2,15,0,0.386072545,57.9296875,1,0,15,5,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,SO,16,0,P,1,300,31,1,0,11,0,16,0,0.056337707,27.62109375,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,SL,20,1,P,1,500,3,1,81,12,1,9,0,0,67.9375,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,SO,23,3,R,2,1300,9,1,1,19,0,15,0,0.111626403,77.203125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,SO,21,2,P,1,950,19,2,0,4,0,1,0,0,43.1171875,1,1,1107,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,SM,20,2,P,1,500,6,1,0,10,1,6,0,0.552401662,55.8203125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
1,SF,20,1,R,1,500,12,1,0,2,0,33,464,0.201479747,67.796875,1,1,360,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
480,SO,23,5,P,1,200,14,2,25,14,5,12,0,0,81,1,2,72,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1,SL,21,0,P,1,1700,19,1,154,22,1,2,0,0,39.203125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,SA,23,1,R,1,150,36,1,0,17,3,6,1924,0,72.1875,1,0,0,4,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,FT,24,1,R,1,250,20,1,105,18,0,2,528,0.044896133,17.66015625,2,0,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,SO,23,3,P,1,750,11,1,29,19,19,28,61,0.03507211,73.5625,1,1,412,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1,SM,22,4,P,1,4300,7,3,0,23,5,20,712,0.082439714,58.671875,2,3,2027,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
500,SO,18,1,P,1,700,7,1,0,1,0,2,465,0.042954415,54.234375,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
