"","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","var.FT","var.SA","var.SB","var.SC","var.SD","var.SE","var.SF","var.SG","var.SH","var.SJ","var.SK","var.SL","var.SM","var.SN","var.SO","var.H","var.P","var.R","var.1","var.2","var.3","var.4","var.5","response"
"54",0,"SO",23,4,"R",1,100,8,1,0,18,2,17,0,0,59.84375,1,0,451,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"56",1,"SL",17,0,"R",1,300,4,1,1,21,0,14,5704,0,30.25390625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
"58",0,"SG",20,2,"P",1,750,6,1,0,11,0,63,62,0.0065730454,63.9296875,1,1,354,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"59",0,"SO",30,0,"P",1,950,14,1,0,24,11,37,682,0.0527717074,78.921875,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"60",1,"SL",22,0,"P",1,1500,19,1,0,19,6,93,0,0.1978847003,49.640625,3,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"61",0,"SD",21,0,"R",2,950,11,1,635,15,0,17,0,0.0710863429,29.73828125,1,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"62",1,"SD",29,1,"H",1,100,83,2,29,18,0,54,931,0.3677603146,63.859375,1,0,0,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"64",0,"SO",18,0,"P",2,200,38,2,49,12,0,8,1550,0,64.421875,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"67",0,"SA",23,0,"R",1,50,11,1,0,22,0,52,61,0.1037878948,53.7265625,1,0,157,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"68",0,"SA",21,4,"P",1,950,11,2,44,13,1,44,1116,0.0387659803,47.0859375,2,1,1320,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"73",960,"SM",46,0,"R",1,950,3,3,0,15,0,2,805,0,43.2265625,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"74",1,"SL",22,4,"R",1,350,16,6,35,10,2,15,0,0.0875395227,48.28125,2,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
"75",0,"SB",19,1,"R",1,650,22,2,1,6,1,8,588,0.2540849233,71.3125,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"77",0,"SO",18,1,"P",1,150,3,1,1,26,3,4,155,0.0270535915,50.9765625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"80",0,"SO",28,1,"R",1,950,3,1,1,22,0,21,0,0.3383732364,65.84375,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"81",1,"SL",19,1,"P",1,500,10,2,44,9,0,22,0,0.0994428329,68.78125,2,2,1150,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"83",0,"SO",20,1,"P",2,2350,2,2,29,2,4,15,0,0,9.8125,1,0,248,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"86",0,"FT",22,1,"P",2,300,15,2,0,27,1,4,3844,0.0967883989,48.359375,1,0,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"87",0,"SO",19,1,"P",1,250,29,1,105,16,26,4,2014,0,17.1328125,1,0,2567,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"88",1,"SC",19,1,"P",1,250,11,1,0,10,10,10,0,0.3780874815,28.35546875,1,0,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"89",0,"SB",22,3,"P",1,3450,2,2,25,1,2,11,217,0.1119794536,53.484375,1,2,3809,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"97",1,"SO",29,0,"R",1,250,29,1,0,14,1,30,0,0.2099019224,60.078125,1,0,27,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"100",1,"SD",18,0,"P",2,200,1,1,0,15,2,53,1,0.0246184738,55.578125,1,0,0,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"102",0,"SO",23,1,"P",1,50,9,1,45,4,28,13,1210,0.0325951611,40.953125,2,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"104",0,"SA",19,0,"P",1,150,9,2,0,7,3,23,1054,0.0982507756,83.9375,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"106",1,"SB",20,1,"P",1,750,3,1,45,15,15,7,0,0.0650839009,64.1875,2,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"111",0,"SC",36,1,"H",1,4700,17,2,35,9,1,12,124,0.0278516425,80.25,1,0,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"114",0,"SA",30,0,"R",2,350,14,1,50,0,0,13,123,0,41.6015625,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"115",2,"SC",20,1,"P",1,750,2,1,271,1,0,13,0,0.2038313127,72.171875,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"116",1,"SK",18,0,"P",1,2150,33,1,0,27,0,10,278,0,46.4296875,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
"118",0,"SO",18,0,"P",1,100,4,1,1,29,2,33,124,0.0924624477,27.51953125,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"120",1,"SM",21,3,"H",1,350,3,1,161,9,2,21,434,0.2453958509,59.578125,1,0,2013,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"121",0,"SO",20,2,"P",1,4050,5,1,1,0,0,9,0,0.0005284478,55.4453125,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"122",0,"SO",17,0,"P",2,950,3,2,30,4,3,2,1332,0.2380429762,56.40625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"124",160,"SB",18,1,"P",1,4400,6,1,29,21,0,32,1458,0,76.9375,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"125",0,"SA",30,0,"R",1,1000,1,1,0,18,0,29,0,0,24.7890625,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"126",100,"SN",26,0,"P",2,500,22,1,0,10,6,5,94,0.0897657545,50.25,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
