"","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","var.FT","var.SA","var.SB","var.SC","var.SD","var.SE","var.SF","var.SG","var.SH","var.SJ","var.SK","var.SL","var.SM","var.SN","var.SO","var.H","var.P","var.R","var.1","var.2","var.3","var.4","var.5","response"
"1256",1,"SB",18,0,"P",1,250,25,1,39,5,1,4,619,0.0173563451,77.21875,1,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"1257",0,"SK",19,0,"R",2,250,13,1,1,12,0,25,466,0,30.72265625,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
"1258",1,"SB",34,0,"R",1,350,2,1,29,0,0,45,340,0.2191217225,19.51953125,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1259",0,"SO",17,0,"P",1,350,25,2,111,15,1,16,156,0.1787360371,66.5625,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"1260",500,"SA",22,0,"R",1,450,19,1,46,27,0,28,124,0.1027982342,51.6953125,1,1,47,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1262",0,"SB",26,1,"R",1,100,2,1,75,0,2,20,0,0.1121796761,28.22265625,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1263",0,"SA",31,0,"R",1,500,23,2,49,14,2,73,340,0.0877777725,60.296875,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1266",0,"SD",39,0,"R",1,900,16,1,0,2,0,15,1924,0.2122697607,42.9296875,1,0,0,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1267",0,"SC",18,0,"P",1,350,13,1,0,2,8,8,0,0.1496764147,60.265625,1,0,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1268",0,"SE",20,0,"P",1,1000,6,4,30,4,0,2,0,0.148564917,42.4609375,1,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1269",0,"SO",18,0,"P",2,750,17,1,0,4,0,22,0,0.1307985489,65.6875,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1272",0,"SG",18,0,"P",2,2500,27,1,90,7,1,21,526,0.0064323474,90.484375,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1274",1,"SO",18,0,"P",1,350,9,1,220,10,2,32,0,0.0399322762,78.984375,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1275",0,"SA",18,0,"P",1,11700,9,1,0,16,0,46,155,0,63.3203125,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1276",1,"SO",16,5,"P",1,200,48,2,0,15,0,23,122,0.2303404436,64.015625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1278",0,"SN",19,0,"P",1,800,14,1,26,11,3,58,124,0,99,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"1280",0,"SK",18,0,"P",1,350,2,2,79,25,1,37,1,0.056294664,78.5,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
"1282",1,"SO",19,0,"P",2,1450,4,1,0,27,2,45,0,0.0333440583,65.921875,1,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1283",0,"SA",19,0,"P",1,600,28,1,0,16,0,39,32,0,46.3203125,1,1,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1284",0,"SO",18,0,"P",1,200,2,1,26,19,0,39,3007,0.3502461864,47.3515625,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1285",1,"SO",18,0,"P",1,1100,18,1,0,12,1,38,63,0.0975325485,86.78125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1287",0,"SH",18,0,"P",3,3300,51,1,24,19,0,34,187,0,67.28125,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1290",0,"SH",18,0,"P",1,200,28,1,0,20,1,27,155,0.1296837381,54.5546875,1,0,2793,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1293",1,"SB",20,0,"P",1,300,5,3,65,24,2,25,0,0.1141612357,68.609375,1,1,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1294",0,"SA",18,0,"P",1,1250,18,1,1,15,1,23,279,0.151634655,79.328125,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1296",0,"SC",18,0,"P",1,350,5,1,85,13,2,23,0,0,71.421875,1,0,261,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1297",0,"SA",19,0,"P",1,550,16,2,1,3,0,25,8495,0.05302116,22.140625,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1298",0,"SA",18,0,"P",2,75100,11,1,144,3,0,24,0,0,7.4013671875,1,0,65,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1299",0,"SF",18,0,"P",2,50,4,1,90,22,0,24,342,0,70.8125,1,0,0,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1300",0,"SD",20,2,"P",2,50,24,1,0,11,1,24,744,0.0110977291,71.515625,1,1,0,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1301",0,"SO",20,0,"P",2,150,12,1,24,4,1,57,0,0,80.90625,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1303",0,"SO",18,0,"P",1,3200,58,1,65,20,2,24,0,0.2288448531,72.203125,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1306",0,"SA",19,0,"P",1,350,1,1,0,21,2,65,0,0.145490332,61.6171875,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1307",0,"SA",18,0,"P",1,750,47,1,36,13,0,26,527,0,80.5625,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1308",0,"SH",18,0,"P",1,50,15,1,36,3,2,22,279,0.100237991,53.3671875,1,1,0,3,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1309",0,"SE",18,0,"P",1,150,19,1,0,27,1,21,2014,0,86.859375,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1312",0,"SH",18,0,"P",1,700,7,1,0,6,1,20,31,0.0301089681,69.09375,1,0,3809,5,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1314",0,"SO",18,0,"P",1,350,5,1,26,16,0,21,0,0,52.140625,1,0,333,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1315",0,"SH",18,0,"P",1,1800,28,1,320,3,5,18,464,0.2173409844,67.28125,1,1,0,3,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1317",0,"SD",18,0,"P",1,2050,2,1,206,6,2,20,403,0,77.96875,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1318",0,"SA",21,0,"P",1,750,6,1,40,13,2,20,0,0,60.828125,2,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1319",0,"SO",18,0,"P",2,750,1,1,0,18,0,19,342,0,59.265625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1320",0,"SH",18,0,"P",1,2050,7,1,0,7,0,20,2014,0.0730667585,59.2109375,1,0,0,5,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1321",0,"SH",17,0,"P",1,200,26,2,31,10,0,19,62,0.0513684852,79.3125,2,0,0,5,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1322",0,"SN",17,0,"P",1,50,24,2,50,6,1,20,0,0,75.765625,2,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
"1324",0,"SG",19,0,"P",1,1250,3,1,0,18,0,19,0,0.0511525505,66.046875,1,1,0,3,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1326",0,"SB",18,1,"P",1,100,3,2,0,13,0,19,31,0.2736132219,55.2734375,1,0,65,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1327",1,"SH",18,0,"P",1,6000,3,1,0,8,0,17,125,0.2005520253,43.28125,1,0,507,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1328",1,"SH",18,0,"P",1,950,18,2,0,9,0,17,279,0.0195881509,77.75,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1329",0,"SB",18,0,"P",1,600,4,2,0,6,0,15,1737,0.4174910691,53.765625,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1330",1,"SD",18,0,"P",1,650,2,1,0,6,0,15,123,0.1408497947,29.62109375,1,0,90,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1331",1,"SB",16,0,"P",1,500,12,4,0,7,0,15,1892,0.3996960241,52.2109375,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1332",0,"SE",18,0,"P",1,950,6,1,0,3,0,14,0,0,22.99609375,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1335",0,"SO",20,0,"P",1,250,5,1,27,2,1,14,621,0.0052520696,87.125,3,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1336",0,"SC",18,0,"P",1,650,4,1,0,18,0,14,3566,0,85.203125,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1339",0,"SD",18,0,"P",1,1350,18,4,35,18,2,12,31,0.155352972,47.015625,1,0,0,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1340",0,"SH",18,0,"P",1,250,5,1,0,12,1,12,1797,0,69.140625,1,1,0,3,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1342",0,"SO",19,0,"P",1,350,9,1,0,5,1,12,744,0.6320412718,70,1,0,1937,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"1344",0,"SC",19,0,"P",1,4350,13,1,34,1,1,6,464,0,11.138671875,1,0,1050,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1345",0,"SC",19,0,"P",1,650,10,1,20,22,0,8,1332,0,75.078125,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1346",0,"SM",18,0,"P",1,750,38,2,0,23,0,11,187,0,77.703125,3,0,21,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
"1348",0,"SD",18,0,"P",1,250,23,1,1,1,7,11,217,0.0218022248,32.6953125,1,1,0,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1349",0,"SD",19,0,"P",1,500,11,1,26,25,0,11,403,0.1053731819,46.1015625,1,1,0,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1350",1,"SO",18,0,"P",3,200,5,1,0,6,0,10,775,0.0383021093,78.234375,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1351",0,"SO",18,0,"P",1,350,12,2,0,21,0,11,744,0,75.96875,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1353",0,"SO",18,0,"P",1,350,16,1,91,11,0,8,4587,0.198184079,44.0078125,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1354",1,"SB",18,0,"P",1,200,42,1,18,28,1,8,1,0.0789229237,65.859375,2,1,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1355",0,"SB",19,0,"P",1,200,17,2,0,18,3,11,1395,0,88.9375,1,1,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1356",1,"SA",20,0,"P",1,250,26,1,0,4,4,10,280,0.2766787047,52.5625,1,1,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1359",0,"SC",18,0,"P",1,100,1,1,22,13,0,9,435,0.2991234362,48.796875,1,0,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1360",1,"SA",18,1,"P",1,2500,8,1,25,17,0,9,589,0.1177327132,41.9296875,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1361",0,"SC",18,0,"P",1,750,4,2,20,10,0,9,1858,0.0268886845,74.421875,1,0,1851,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1362",460,"SM",19,0,"P",1,450,2,1,0,15,1,7,62,0,55.15625,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
"1364",0,"SD",18,0,"P",1,600,13,1,0,0,0,9,31,0,61.6171875,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1366",0,"SO",18,0,"P",1,950,20,1,154,16,0,10,496,0.0655615383,73.40625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1367",0,"SC",18,0,"P",1,500,23,1,0,15,2,14,61,0.0604680034,71.28125,1,1,0,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1368",0,"SD",18,0,"P",3,750,19,1,0,4,0,8,621,0.0657939524,53.3046875,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1369",0,"SE",18,0,"P",2,2850,12,1,0,9,0,7,528,0.4977545347,81.140625,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1371",0,"SF",18,0,"P",2,950,10,1,1,14,1,8,1892,0.0663797096,69.484375,1,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1373",0,"SB",19,0,"P",1,500,9,1,0,9,1,14,1983,0.0099520555,42.9140625,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1375",1,"SO",19,0,"P",1,400,1,3,0,3,0,7,33,0.4111894565,38.4921875,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1376",1,"SL",18,0,"P",1,1200,13,2,0,2,6,7,2697,0.1322133872,58.015625,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
"1377",0,"SO",18,0,"P",1,750,24,1,1,21,0,6,0,0.1024980773,58.6484375,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1378",0,"SO",18,0,"P",2,100,26,1,0,15,0,7,1,0.1296225595,45.2421875,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1379",0,"SD",18,0,"P",2,50,10,1,35,9,0,7,31,0,54.625,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1380",0,"SF",18,0,"P",2,100,16,1,1,2,0,8,0,0.1113391714,57.8046875,1,1,0,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1382",0,"SH",21,0,"P",1,2650,20,1,0,10,3,8,0,0.4143140204,48.578125,1,0,772,5,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1383",0,"SC",18,0,"P",1,200,13,1,0,24,0,7,0,0,23.41796875,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1384",0,"SO",18,0,"P",1,500,3,1,75,4,0,7,0,0.0588266989,68.875,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1386",0,"SB",18,0,"P",1,300,7,1,79,5,1,6,1,0,55.6171875,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1388",1,"SO",18,0,"P",1,1650,7,1,0,7,1,7,496,0.0637212002,65.21875,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1389",0,"SL",18,0,"P",1,1300,22,1,0,17,0,17,0,0,69.21875,2,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"1390",0,"SO",19,0,"P",3,750,32,1,0,2,2,14,249,0.1094629508,78.96875,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1392",0,"SO",20,0,"P",2,5500,12,2,200,2,1,7,868,0.1647352795,36.8515625,1,2,1499,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1393",0,"SO",19,0,"P",2,400,9,2,0,2,2,6,1768,0,76.515625,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1395",1,"SO",18,0,"P",1,50,10,1,0,16,1,17,0,0.0416248803,78.734375,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1397",0,"SA",19,0,"P",1,9850,4,1,0,27,2,8,31,0,39.5859375,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1398",0,"SL",19,0,"P",3,50,8,1,1,2,1,6,6262,0.5325736683,56.875,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"1400",0,"SO",18,0,"P",1,1800,5,1,0,21,4,7,0,0,54.9296875,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1401",1,"SA",18,0,"P",2,400,3,2,21,16,0,6,1798,0,70.390625,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1402",0,"SA",18,0,"P",1,1050,55,3,1,5,2,17,529,0,49.2578125,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1404",1,"SC",18,0,"P",1,500,43,1,0,16,2,20,124,0.0260225539,78.65625,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1405",0,"SC",18,0,"R",1,350,3,1,25,4,0,6,124,0.2978428751,78.390625,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"1406",1,"SC",18,0,"P",1,1250,12,1,0,13,0,15,1055,0,85.953125,1,0,828,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1409",0,"SC",19,0,"P",1,50,18,1,25,22,1,8,0,0.032449236,64.75,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1410",1,"SM",18,0,"P",1,1650,28,1,0,1,0,4,1207,0,60.734375,1,0,2451,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
"1413",0,"SO",19,0,"P",1,100,36,1,41,13,2,3,1,0.7947005928,42,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1414",0,"SC",18,0,"P",1,150,24,1,0,5,0,8,372,0.1180834235,53.9375,1,1,0,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1415",0,"SA",18,0,"P",1,50,3,1,36,2,1,16,1706,0.0951750476,51.359375,1,1,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1416",1,"SM",19,0,"P",1,300,2,2,0,10,1,13,31,0.0844436947,49.1875,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
"1418",0,"SM",19,0,"P",2,1450,10,1,0,16,0,11,0,0,52.5859375,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
"1419",1,"SM",22,0,"P",1,2000,15,2,45,6,5,4,0,0.0747839801,66.28125,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
"1422",0,"SF",17,0,"P",1,5300,21,3,66,19,0,11,1,0,44.109375,1,0,36,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1426",1,"SO",24,0,"P",1,3300,27,1,0,13,3,13,31,0.1029763618,79.5,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1427",0,"SM",18,0,"P",1,750,3,1,0,15,0,8,466,0.161089153,51.3125,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
"1428",0,"SO",18,0,"P",1,250,2,1,70,15,0,10,1,0.0024293657,51.5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1429",0,"SB",18,0,"P",1,750,15,1,0,23,0,5,62,0.6290300824,62.3203125,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1431",0,"SA",18,0,"P",1,2100,16,1,45,19,0,4,155,0,63.65625,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1432",1,"SB",19,0,"P",1,700,13,2,0,1,1,5,31,0.1909873663,39.984375,1,1,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1433",0,"SO",18,0,"P",1,500,26,1,70,27,0,4,0,0.0632015329,82.140625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"1434",1,"SL",19,0,"P",2,50,17,1,0,3,3,15,32,0,79.78125,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"1435",0,"SB",18,0,"P",1,500,19,1,45,12,0,10,0,0.0573756322,70.90625,2,1,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1436",1,"SA",18,0,"P",1,50,47,1,19,14,0,10,373,0,54.2421875,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1439",0,"SD",18,0,"P",3,500,4,1,0,1,1,4,496,0.0304370121,66.875,1,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1440",1,"SC",18,0,"P",1,700,2,1,1,11,0,4,125,0,82.671875,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1441",1,"SC",18,0,"P",1,100,50,1,0,7,0,3,371,0,99,1,1,0,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1442",0,"SC",17,0,"P",1,200,30,2,30,16,0,5,155,0,72.625,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1443",200,"SO",19,0,"P",2,650,4,3,0,0,0,9,464,0.1886586579,68.71875,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1444",0,"SO",18,0,"P",1,650,15,2,0,7,1,2,0,0,69.703125,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1446",0,"SO",20,0,"P",3,750,20,2,0,23,0,2,1,0,70.28125,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"1447",0,"SH",19,0,"P",1,250,13,1,70,8,0,2,26877,0.1212342302,46.9453125,1,1,0,3,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1449",0,"SK",18,0,"P",1,500,2,1,0,0,0,2,0,0.0838049527,48.84375,2,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
